fecha,indice,indice_ext,salario_real_ipc,salario_pesos_actuales
2015-07-01,133.1,133.1,,2450406.221041911
2015-08-01,141.9,141.9,,2612416.5497058393
2015-09-01,139.5,139.5,,2568231.914615677
2015-10-01,139.2,139.2,,2562708.8352294066
2015-11-01,137.7,137.7,,2535093.4382980554
2015-12-01,132.5,132.5,,2439360.062269371
2016-01-01,127.2,127.2,,2341785.659778596
2016-02-01,122.4,122.4,,2253416.389598272
2016-03-01,118.5,118.5,,2181616.357576758
2016-04-01,111.6,111.6,,2054585.5316925414
2016-05-01,126.4,126.4,,2327057.448081875
2016-06-01,122.6,122.6,,2257098.4425224517
2016-07-01,120.2,120.2,,2212913.8074322897
2016-08-01,119.9,119.9,,2207390.728046019
2016-09-01,126.1,126.1,,2321534.3686956046
2016-10-01,123.2,123.2,,2268144.6012949925
2016-11-01,121.2,121.2,,2231324.0720531903
2016-12-01,128.6,128.6,,2367560.030247857
2017-01-01,126.6,126.6,,2330739.501006055
2017-02-01,124.0,124.0,,2282872.8129917127
2017-03-01,126.0,126.0,,2319693.342233515
2017-04-01,122.7,122.7,,2258939.468984542
2017-05-01,121.0,121.0,,2227642.0191290104
2017-06-01,126.8,126.8,,2334421.5539302356
2017-07-01,124.6,124.6,,2293918.9717642535
2017-08-01,122.9,122.9,,2262621.521908722
2017-09-01,130.2,130.2,,2397016.453641298
2017-10-01,128.3,128.3,,2362036.950861587
2017-11-01,133.8,133.8,,2463293.406276542
2017-12-01,129.8,129.8,,2389652.347792939
2018-01-01,127.5,127.5,,2347308.739164866
2018-02-01,127.3,127.3,,2343626.686240686
2018-03-01,124.4,124.4,,2290236.9188400735
2018-04-01,121.0,121.0,,2227642.0191290104
2018-05-01,124.5,124.5,,2292077.9453021633
2018-06-01,120.0,120.0,,2209231.7545081093
2018-07-01,116.4,116.4,,2142954.801872866
2018-08-01,118.2,118.2,,2176093.278190488
2018-09-01,115.2,115.2,,2120862.484327785
2018-10-01,118.8,118.8,,2187139.4369630283
2018-11-01,115.2,115.2,,2120862.484327785
2018-12-01,112.3,112.3,,2067472.7169271724
2019-01-01,109.5,109.5,,2015923.9759886498
2019-02-01,105.5,105.5,,1942282.9175050464
2019-03-01,100.5,100.5,,1850231.5944005416
2019-04-01,97.1,97.1,,1787636.6946894785
2019-05-01,98.6,98.6,,1815252.09162083
2019-06-01,99.6,99.6,,1833662.3562417307
2019-07-01,101.6,101.6,,1870482.8854835324
2019-08-01,97.8,97.8,,1800523.879924109
2019-09-01,99.8,99.8,,1837344.409165911
2019-10-01,103.2,103.2,,1899939.308876974
2019-11-01,99.0,99.0,,1822616.1974691902
2019-12-01,95.4,95.4,,1756339.2448339472
2020-01-01,104.7,104.7,1836161.6562467974,1927554.7058083254
2020-02-01,102.7,102.7,1799917.979117801,1890734.1765665237
2020-03-01,109.0,109.0,1910378.1280594934,2006718.8436781992
2020-04-01,107.4,107.4,1882209.4966301264,1977262.4202847579
2020-05-01,108.9,108.9,1909324.806397687,2004877.8172161093
2020-06-01,109.4,109.4,1916938.07662847,2014082.9495265598
2020-07-01,107.3,107.3,1880564.302579939,1975421.3938226677
2020-08-01,104.5,104.5,1831121.988092321,1923872.652884145
2020-09-01,101.6,101.6,1780631.78828258,1870482.8854835324
2020-10-01,104.7,104.7,1836066.1774735514,1927554.7058083254
2020-11-01,101.5,101.5,1779828.8377442823,1868641.8590214425
2020-12-01,97.6,97.6,1711282.2739133746,1796841.8269999288
2021-01-01,95.7,95.7,1677545.6175192506,1761862.3242202173
2021-02-01,96.0,96.0,1683095.664858878,1767385.4036064874
2021-03-01,95.1,95.1,1666376.0586641654,1750816.1654476766
2021-04-01,98.7,98.7,1728983.0211943018,1817093.1180829199
2021-05-01,95.5,95.5,1673377.0681309968,1758180.2712960371
2021-06-01,97.7,97.7,1711920.7068739813,1798682.853462019
2021-07-01,94.8,94.8,1662106.8118742753,1745293.0860614062
2021-08-01,95.8,95.8,1678921.8838088734,1763703.3506823073
2021-09-01,97.2,97.2,1703797.5778569384,1789477.7211515687
2021-10-01,99.2,99.2,1738758.0563810475,1826298.2503933704
2021-11-01,96.8,96.8,1695861.8316613513,1782113.6153032081
2021-12-01,98.2,98.2,1633149.3804038144,1807887.9857724695
2022-01-01,97.3,97.3,1704121.2753337852,1791318.7476136584
2022-02-01,98.1,98.1,1719352.24668847,1806046.9593103793
2022-03-01,106.0,106.0,1856621.4116196185,1951488.0498154964
2022-04-01,99.9,99.9,1750748.0878477537,1839185.4356280013
2022-05-01,95.1,95.1,1666581.9010455587,1750816.1654476766
2022-06-01,103.1,103.1,1806743.588683448,1898098.2824148838
2022-07-01,105.0,105.0,1838562.8948483593,1933077.7851945958
2022-08-01,103.0,103.0,1804038.3340617747,1896257.2559527939
2022-09-01,100.3,100.3,1756652.1701103246,1846549.5414763612
2022-10-01,99.8,99.8,1748934.6470994474,1837344.409165911
2022-11-01,99.3,99.3,1738975.9743940004,1828139.2768554604
2022-12-01,103.9,103.9,1820542.4143008399,1912826.4941116048
2023-01-01,99.1,99.1,1735499.639817824,1824457.2239312802
2023-02-01,94.9,94.9,1627625.1733213759,1747134.1125234966
